# source_url=https://www.sen.go.kr/www/website.jsp
# source_as_of=2026-08-10
# source_sha256=69863ac78689fb4b6e9941aabea03c3c1d618ccb26568e844079afd9092eb2c2
# normalized_sha256=c2b7e84c476175586b9f3764f54ee008fc35cb7831b4a8a0186ded9b608aac50
# directory_source_raw_sha256=9f202202edc653b09b4debb5a0ff939cf9fcdc64dd58174b28f8d009bb1b7424
# main_site_source_url=https://gslib.sen.go.kr/gslib/html.do?menu_idx=52
# main_site_source_raw_sha256=312ca8f63086188dabcb272ed3a2bfdfdb0d2c360f010cdc1fb59e6ff90288e7
# branch_site_source_url=https://gylib.sen.go.kr/gylib/html.do?menu_idx=43
# branch_site_source_raw_sha256=b3036767d04ef37b77d72c617ca21b052b83682eeab6f19ecb15a8a0aa54dd49
# site_sources_checked_at=2026-08-11
# license_name=KOGL_TYPE_1_ATTRIBUTION
# attribution=Source: Seoul Metropolitan Office of Education (organization directory and 2026 civil-service handbook)
institution_id,official_name,institution_type,foundation_type,education_office,road_address,district,latitude,longitude,site_code,site_name,is_default
sen:agency-research-info,\uad50\uc721\uc5f0\uad6c\uc815\ubcf4\uc6d0,DIRECT_AGENCY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc911\uad6c \uc18c\ud30c\ub85c 46,\uc911\uad6c,,,main,\ubcf8\uad00,true
sen:agency-science,\uc735\ud569\uacfc\ud559\uad50\uc721\uc6d0,DIRECT_AGENCY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uad00\uc545\uad6c \ub099\uc131\ub300\ub85c 101,\uad00\uc545\uad6c,,,main,\ubcf8\uad00,true
sen:agency-training,\uad50\uc721\uc5f0\uc218\uc6d0,DIRECT_AGENCY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc11c\ucd08\uad6c \ub0a8\ubd80\uc21c\ud658\ub85c 2248,\uc11c\ucd08\uad6c,,,main,\ubcf8\uad00,true
sen:agency-student,\ud559\uc0dd\uad50\uc721\uc6d0,DIRECT_AGENCY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uacbd\uae30\ub3c4 \uac00\ud3c9\uad70 \uc0c1\uba74 \ucd95\ub839\ub85c45\ubc88\uae38 40-135,\uac00\ud3c9\uad70,,,main,\ubcf8\uad00,true
sen:agency-early-childhood,\uc720\uc544\uad50\uc721\uc9c4\ud765\uc6d0,DIRECT_AGENCY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc885\ub85c\uad6c \uc0ac\uc9c1\ub85c9\uae38 15-8,\uc885\ub85c\uad6c,,,main,\ubcf8\uad00,true
sen:agency-health-safety,\ubcf4\uac74\uc548\uc804\uc9c4\ud765\uc6d0,DIRECT_AGENCY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc885\ub85c\uad6c \uc1a1\uc6d4\uae38 48,\uc885\ub85c\uad6c,,,main,\ubcf8\uad00,true
sen:agency-student-gym,\ud559\uc0dd\uccb4\uc721\uad00,DIRECT_AGENCY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc1a1\ud30c\uad6c \uc62c\ub9bc\ud53d\ub85c 25,\uc1a1\ud30c\uad6c,,,main,\ubcf8\uad00,true
sen:agency-facilities,\uad50\uc721\uc2dc\uc124\uad00\ub9ac\ubcf8\ubd80,DIRECT_AGENCY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc131\ubd81\uad6c \uc624\ud328\uc0b0\ub85c3\uae38 105,\uc131\ubd81\uad6c,,,main,\ubcf8\uad00,true
sen:lifelong-godeok,\uace0\ub355\ud3c9\uc0dd\ud559\uc2b5\uad00,LIFELONG_LEARNING_CENTER,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uac15\ub3d9\uad6c \uace0\ub355\ub85c 295,\uac15\ub3d9\uad6c,,,main,\ubcf8\uad00,true
sen:lifelong-nowon,\ub178\uc6d0\ud3c9\uc0dd\ud559\uc2b5\uad00,LIFELONG_LEARNING_CENTER,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \ub178\uc6d0\uad6c \ub3d9\uc77c\ub85c204\uae38 13,\ub178\uc6d0\uad6c,,,main,\ubcf8\uad00,true
